id,name,cuisine,baseServings,protein,allergens,difficulty,prepTime,emoji,imageUrl,imgQ,ingredients,instructions
r001,Caldo Verde with Smoked Tofu,Portuguese,4,tofu|vegan,soy,Easy,30,🌱,https://static.wixstatic.com/media/54a836_7edc80210d424fd5b417fb3dd2195f4f~mv2.jpg/v1/fill/w_980%2Ch_1464%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/54a836_7edc80210d424fd5b417fb3dd2195f4f~mv2.jpg,Caldo Verde with Smoked Tofu recipe,"[{""name"":""Firm Tofu"",""amount"":450,""unit"":""g""},{""name"":""Potatoes"",""amount"":600,""unit"":""g""},{""name"":""Kale"",""amount"":250,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r002,Vegan Caldo Verde,Portuguese,4,vegan,,Easy,30,🥣,https://vegmente.pt/sites/default/files/2020-01/receita-facil-caldo-verde-vegan.jpg,Vegan Caldo Verde recipe,"[{""name"":""Potatoes"",""amount"":600,""unit"":""g""},{""name"":""Kale"",""amount"":250,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""},{""name"":""Fresh Coriander"",""amount"":10,""unit"":""g""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r003,Portuguese Bean Soup,Portuguese,4,vegan,,Medium,40,🥣,https://leitesculinaria.com/wp-content/uploads/2021/09/portuguese-bean-soup.jpg,Portuguese Bean Soup recipe,"[{""name"":""Beans"",""amount"":480,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Prepare the vegetables, noodles and protein."",""Sauté aromatics in a deep pot until fragrant."",""Add stock and seasoning, then simmer to build flavour."",""Cook the protein or vegetables in the broth until tender."",""Add noodles near the end so they stay springy."",""Serve with herbs, lime or chilli oil on the side.""]"
r004,White Bean and Cabbage Stew,Portuguese,4,vegan,,Medium,40,🍲,https://cdn.mos.cms.futurecdn.net/tfcNvhhskHhMas8DJoEApj.jpg,White Bean and Cabbage Stew recipe,"[{""name"":""Beans"",""amount"":480,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Cabbage"",""amount"":250,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Chop the vegetables and season the main protein or legumes."",""Sauté onion and garlic in olive oil until soft."",""Add the protein, legumes or vegetables and brown lightly if needed."",""Add tomato, stock and spices, then simmer gently."",""Cook until the sauce thickens and everything is tender."",""Serve with rice, potatoes or bread as preferred.""]"
r005,Chickpea and Spinach Stew,Portuguese,4,vegan,,Medium,40,🍲,https://s.soyrice.com/media/20240913081516/Chickpea-and-Spinach-Stew-with-Chorizo_done-800x530.png,Chickpea and Spinach Stew recipe,"[{""name"":""Chickpeas"",""amount"":480,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Spinach"",""amount"":200,""unit"":""g""},{""name"":""Peas"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Chop the vegetables and season the main protein or legumes."",""Sauté onion and garlic in olive oil until soft."",""Add the protein, legumes or vegetables and brown lightly if needed."",""Add tomato, stock and spices, then simmer gently."",""Cook until the sauce thickens and everything is tender."",""Serve with rice, potatoes or bread as preferred.""]"
r006,Portuguese Lentil Stew,Portuguese,4,vegan,,Medium,40,🍲,"https://loremflickr.com/760/560/Portuguese,Lentil,Stew,recipe,food?lock=106",Portuguese Lentil Stew recipe,"[{""name"":""Lentils"",""amount"":250,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Chop the vegetables and season the main protein or legumes."",""Sauté onion and garlic in olive oil until soft."",""Add the protein, legumes or vegetables and brown lightly if needed."",""Add tomato, stock and spices, then simmer gently."",""Cook until the sauce thickens and everything is tender."",""Serve with rice, potatoes or bread as preferred.""]"
r007,Tomato Rice with White Beans,Portuguese,4,vegan,,Easy,30,🍚,"https://loremflickr.com/760/560/Tomato,Rice,with,White,Beans,recipe,food?lock=107",Tomato Rice with White Beans recipe,"[{""name"":""Beans"",""amount"":480,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Tomato Passata"",""amount"":400,""unit"":""ml""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r008,Tomato Rice with Chickpeas,Portuguese,4,vegan,,Easy,30,🍚,"https://loremflickr.com/760/560/Tomato,Rice,with,Chickpeas,recipe,food?lock=108",Tomato Rice with Chickpeas recipe,"[{""name"":""Chickpeas"",""amount"":480,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Peas"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Tomato Passata"",""amount"":400,""unit"":""ml""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""}]","[""Prepare and chop all ingredients."",""Heat oil in a large pan and sauté the aromatics."",""Add the main protein or vegetables and cook until browned."",""Add sauce, seasoning and a splash of water if needed."",""Simmer or toss until everything is cooked through."",""Serve hot with the suggested side.""]"
r009,Portuguese Vegetable Soup,Portuguese,4,vegan,,Medium,40,🥣,"https://loremflickr.com/760/560/Portuguese,Vegetable,Soup,recipe,food?lock=109",Portuguese Vegetable Soup recipe,"[{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Carrot"",""amount"":2,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":3,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":4,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""},{""name"":""Fresh Coriander"",""amount"":10,""unit"":""g""}]","[""Prepare the vegetables, noodles and protein."",""Sauté aromatics in a deep pot until fragrant."",""Add stock and seasoning, then simmer to build flavour."",""Cook the protein or vegetables in the broth until tender."",""Add noodles near the end so they stay springy."",""Serve with herbs, lime or chilli oil on the side.""]"
r010,Pumpkin and Chickpea Soup,Portuguese,4,vegan,,Medium,40,🥣,"https://loremflickr.com/760/560/Pumpkin,and,Chickpea,Soup,recipe,food?lock=110",Pumpkin and Chickpea Soup recipe,"[{""name"":""Chickpeas"",""amount"":480,""unit"":""g""},{""name"":""Rice"",""amount"":300,""unit"":""g""},{""name"":""Butternut Squash"",""amount"":600,""unit"":""g""},{""name"":""Peas"",""amount"":300,""unit"":""g""},{""name"":""Onion"",""amount"":1,""unit"":""pcs""},{""name"":""Olive Oil"",""amount"":2,""unit"":""tbsp""},{""name"":""Garlic"",""amount"":3,""unit"":""cloves""},{""name"":""Bay Leaf"",""amount"":2,""unit"":""pcs""}]","[""Prepare the vegetables, noodles and protein."",""Sauté aromatics in a deep pot until fragrant."",""Add stock and seasoning, then simmer to build flavour."",""Cook the protein or vegetables in the broth until tender."",""Add noodles near the end so they stay springy."",""Serve with herbs, lime or chilli oil on the side.""]"
